,Product_name,Original_price,Offer_price,Offer_percentage,Extra_offer,Shades_and_sizes,Featured_product,Best_seller_product
2231,Bombay Shaving Company Charcoal Shaving Foam,245,199,19,Enjoy Free Gift,Not available,Not available,Not available
2232,Kimirica Love Story Bath Salt & Bubble Bath Relaxing Bath Ca...,1494,1195,20,Not available,Not available,Not available,Not available
2233,"GUBB Nail Pusher & Cuticle Remover,Stainless Steel Cuticle C...",169,152,10,Not available,Not available,Not available,Not available
2234,Nutrainix Organics Back & Bum Dark Spots Removal Scrub Reduc...,490,196,60,Not available,Not available,Not available,Not available
2235,Honeybee Premium White Chocolate Wax,399,359,10,Extra 20% Off,Not available,Not available,Not available
2236,Be Bodywise Body Acne Kit - 1% Salicylic Acid Body Wash + 3%...,848,798,6,Get Free Product,Not available,Not available,Not available
2237,"Beardo Body Acne Body Wash for Men | With Neem, Tea Tree and...",299,254,15,Not available,Not available,Not available,Not available
2238,VEGA PDS-08 Diy Pedicure Set - 8 Tools,Not available,999,Not available,Not available,Not available,Not available,Not available
2239,Bath & Body Works Whiskey Reserve Daily Nourishing Body Loti...,Not available,1899,Not available,Buy 2 Get 1 Free,Not available,Not available,Not available
2240,Bath & Body Works Whiskey Reserve Daily Nourishing Body Loti...,Not available,1899,Not available,Buy 2 Get 1 Free,Not available,Not available,Not available
2241,Be Bodywise 1% Salicylic Acid Body Wash & 4% AHA BHA Underar...,748,698,7,Get Free Product,Not available,Not available,Not available
2242,Pears Soft & Fresh And Naturale Nourishing Coconut Water Bod...,420,298,29,Not available,Not available,Not available,Not available
2243,The Love Co. Body Wash - Lavender Body Wash - Gently Cleanse...,499,349,30,Not available,Not available,Not available,Not available
2244,TAC - The Ayurveda Co. Lemon Whitening Underarm Roll On with...,225,135,40,Extra 10% Off,Not available,Not available,Not available
2245,Kotex Overnight Period Panties (Small/Medium Size),185,163,12,Not available,Not available,Not available,Not available
2246,Vaadi Herbals Elbow-Foot-Knee Scrub Soap - Pack of 2,88,75,15,Extra 10% Off,Not available,Not available,Not available
2247,Plum Bodylovin' Beachy & Vanilla Deodorant Cream Duo,690,518,25,Not available,Not available,Not available,Not available
2248,The Body Care Lemon Grass Bathsalt,325,260,20,Not available,Not available,Not available,Not available
2249,Sirona Blink And Glow Face Razors For Women - 2 Razors,198,169,15,Extra 10% Off,Not available,Not available,Not available
2250,"GUBB Baby Manicure Kit for Newborn Pink, Nail Cutter for Bab...",299,224,25,Not available,Not available,Not available,Not available
2251,Nat Habit Fresh Lemon Drop Underarm Ubtan 4-in-1 Scrub - Pac...,483,309,36,Not available,Not available,Not available,Not available
2252,Sanfe Eyebrow Touch-up Hair Removing Face Razor,299,213,29,Extra 5% Off,Not available,Not available,Not available
2253,L'Occitane Lavender Cleansing Hand Wash,Not available,1900,Not available,Enjoy Free Gift,Not available,Not available,Not available
2254,"Palmolive Body Wash Aroma Combo - Morning Tonic, Absolute Re...",458,344,25,Not available,Not available,Not available,Not available
2255,Sri Sri Tattva Sudanta Toothpaste,105,97,8,Not available,2 sizes,Not available,Not available
2256,Kazarmaa Tea Tree And Lemon Foot Scrub With Jojoba Oil And F...,549,412,25,Not available,Not available,Not available,Not available
2257,The Bath Store British Rose Body Yogurt,699,454,35,Not available,Not available,Not available,Not available
2258,Dabur Red Toothpaste Family Value Pack With Free Toothbrush,160,150,6,Not available,Not available,Not available,Not available
2259,Victoria's Secret Moisturizing Cream Body Wash Refresh Cucum...,Not available,2799,Not available,Offer Available,Not available,Not available,Not available
2260,Bombay Shaving Company Silver Metal Precision Safety Razor S...,1495,1099,26,Enjoy Free Gift,Not available,Not available,Not available
2261,Agaro Cosmic DLX Sonic Electric Toothbrush For Adults,1099,399,64,Not available,Not available,Not available,Not available
2262,Dr.Foot Callus Remover Gel,Not available,375,Not available,Not available,Not available,Not available,Not available
2263,Khadi Natural Ayurvedic Green Tea Soap,80,68,15,Not available,Not available,Not available,Not available
2264,Bare Body Essentials Super Creams Combo,949,664,30,Not available,Not available,Not available,Not available
2265,Sanfe Selfly Tuck You Hair Soft Face Band,129,117,9,Extra 5% Off,Not available,Not available,Not available
2266,"Majestique Double-Sided Foot File for Callus Removal, Smooth...",Not available,189,Not available,Not available,Not available,Not available,Not available
2267,MCaffeine Espresso Coffee Body Wash Value Pack with Refill -...,798,629,21,Not available,Not available,Not available,Not available
2268,Chemist at Play Glowing Skin Gift Box for Brightening and Pi...,Not available,2499,Not available,Enjoy Free Gift,Not available,Not available,Not available
